Opinions,Original Drivers,Assigned Cluster Number,Percentage of Confidence in Assigned Cluster Number,Assigned Driver,Count for max cluster,Model
Car looks gorgeous and has road presence.,Road Presence,5,0.49053466,Road Presence,16,wAd_lda_42
Its road presence is too good and it has good safety standards.,Road Presence,5,0.5393343,Road Presence,16,wAd_lda_42
Nice handling and very good road presence.,Road Presence,5,0.5996916,Road Presence,16,wAd_lda_42
Comfortable boot space.,Boot Space,5,0.50485903,Road Presence,16,wAd_lda_42
somewhat less boot space (around 400lts),Boot Space,5,0.6746,Road Presence,16,wAd_lda_42
"Awesome car with sunroof, very large panoramic sunroof is too good.",Sunroof,5,0.87797165,Road Presence,16,wAd_lda_42
Its looks very best,Looks,5,0.67459047,Road Presence,16,wAd_lda_42
The engine of the car gives good performance.digitally equipped interior.,Performance,5,0.87796557,Road Presence,16,wAd_lda_42
Awesome jeep compass sunroof very large panoramic sunroof is too good.,Sunroof,5,0.89152956,Road Presence,16,wAd_lda_42
Built quality is very solid and a quick peppy engine.,Build Quality,4,0.48475575,Comfort,3,wAd_lda_42
"In terms of performance, Tucson just blows the Tiguan away.",Performance,4,0.598186,Comfort,3,wAd_lda_42
"My requirement is for a reliable, pocket-friendly highway cruiser with low maintenance costs.",Cost,4,0.9023635,Comfort,3,wAd_lda_42
The thigh support is also not great.,Comfort,4,0.5059175,Comfort,3,wAd_lda_42
The sunroof makes us being the best view of nature.,Sunroof,4,0.44689032,Comfort,3,wAd_lda_42
"Yes, very poor under-thigh support.",Comfort,4,0.40494573,Comfort,3,wAd_lda_42
The civic is too low and the rear seat is claustrophobic with less thigh support.,Comfort,4,0.8779681,Comfort,3,wAd_lda_42
"There could be few features which adds value for a customer in htx+ like auto ac, ventilated seats if you prioritize comfort",Ventilated Seats,4,0.58202904,Comfort,3,wAd_lda_42
"I am not worried about the lack of wireless charging, but the pad getting warm, worries me a bit...",Wireless Charging,4,0.66513044,Comfort,3,wAd_lda_42
The diesel engine is providing extreme performance to the car like a beast.,Performance,28,0.7127592,Performance,6,wAd_lda_42
The all black interiors make it pretty classy and the panoramic sunroof makes the cabin feel airy.,Sunroof,28,0.7283118,Performance,6,wAd_lda_42
front parking sensors missing in gl trim.,Safety Features,28,0.8372882,Performance,6,wAd_lda_42
"The safety features and obviously, long-running performance make it all worth it!",Safety Features,28,0.8779714,Performance,6,wAd_lda_42
"The safety features and obviously, long-running performance make it all worth it!",Performance,28,0.8779714,Performance,6,wAd_lda_42
"Best car, long drive is very smoothly no harassment seating space long distance, the look is very nice complete family car interior very beautiful, best mileage, jeep compass completely wonderful car...",Family Car,28,0.41599438,Performance,6,wAd_lda_42
3. music system response is slow and until today it hanged at least 7-8 times.,Infotainment System,28,0.61890936,Performance,6,wAd_lda_42
Glass did not close in one tough and sunroof also,Sunroof,28,0.4111504,Performance,6,wAd_lda_42
It's a better performer than its rivals.,Performance,28,0.2559761,Performance,6,wAd_lda_42
Pano sunroof made the cabin very airy and a pleasure to be in.,Sunroof,28,0.5308358,Performance,6,wAd_lda_42
"Awesome design, legendary performance",Performance,28,0.75593954,Performance,6,wAd_lda_42
Excellent build quality which offers better protection to occupants.,Build Quality,28,0.63555866,Performance,6,wAd_lda_42
It is better looks and better performance.,Looks,28,0.80475473,Performance,6,wAd_lda_42
So I know pricing is tough when performance cannot be compromised.,Performance,28,0.40446275,Performance,6,wAd_lda_42
1. build quality definitely not better than Creta.,Build Quality,28,0.25267497,Performance,6,wAd_lda_42
A worth buy for quality car lovers!,Build Quality,28,0.8047355,Performance,6,wAd_lda_42
"Although a few build quality and finesse niggles are something to be expected in a tata vehicle (even the newer ones), I'm disheartened to learn that the harrier has so many, and they are so obviously evident! and the poor steering calibration is just inexcusable since tata has never goofed up so bad in this department, before.",Build Quality,28,0.79540455,Performance,6,wAd_lda_42
Very spacious car with pretty good features and establishes a bold look.,Looks,28,0.89152837,Performance,6,wAd_lda_42
Overall looks are good and give a better impact.,Looks,28,0.83729285,Performance,6,wAd_lda_42
Display screen and sunroof is something like newly added technology like a luxury car.,Sunroof,28,0.9112466,Performance,6,wAd_lda_42
"Powerful, stylish, feature-loaded, and tough built quality.",Build Quality,28,0.8779689,Performance,6,wAd_lda_42
"It's disheartening because if a buyer is in love with dct and planning to buy then he has to loose whole lot of features like , no power sunroof, no ventilated seats etc.",Ventilated Seats,28,0.5884253,Performance,6,wAd_lda_42
I don't understand why Kia not offering safety features in this variant like 6 airbags and other features,Safety Features,28,0.90237474,Performance,6,wAd_lda_42
Tata Harrier is a wonderful car not only by looks but also by its performance.,Performance,28,0.60940206,Performance,6,wAd_lda_42
Maintainance cost is very less I would say negligible.,Cost,24,0.5118891,Cost,11,wAd_lda_42
Comfort and insulation are very bad,Comfort,24,0.7559133,Cost,11,wAd_lda_42
"Speed, average and built quality and interiors are good.",Build Quality,24,0.6700461,Cost,11,wAd_lda_42
Performance is very well highly trustable in terms of engine and builds quality.,Performance,24,0.8779686,Cost,11,wAd_lda_42
"The same car now costs roughly 2.5x what it did then, which is atrocious.",Cost,24,0.67459136,Cost,11,wAd_lda_42
"I think maintenance costs will be higher, lesser upgrade options for accessories in the market.",Cost,24,0.90236926,Cost,11,wAd_lda_42
"Exterior and interior is very good, road presence is very good.",Road Presence,24,0.86052334,Cost,11,wAd_lda_42
It's a complete package of luxury and comfort.,Comfort,24,0.5470024,Cost,11,wAd_lda_42
Poor quality and road presence.,Road Presence,24,0.6001156,Cost,11,wAd_lda_42
The build quality is very high.,Build Quality,24,0.7559438,Cost,11,wAd_lda_42
I feel the rear seat comfort very unsettling and feel every small detail of the road creeping into the back and spine.,Comfort,24,0.9186397,Cost,11,wAd_lda_42
"Tata should work on this .....spending 15lac above for unrefined engine and bad insulation is not worthy.
 for design and space its worthy
 but not in the cost of refinement",Cost,24,0.8172219,Cost,11,wAd_lda_42
Mg hector is going to be the best car under 20lk and the best family tour car too.,Family Car,24,0.5755315,Cost,11,wAd_lda_42
The front grill helps this car to get an amazing road presence.,Road Presence,24,0.5260876,Cost,11,wAd_lda_42
The length of the back seat is less and there's no sitting comfort.,Comfort,24,0.7559274,Cost,11,wAd_lda_42
Though this cost impact is not prohibitively high considering the utility.,Cost,24,0.8605366,Cost,11,wAd_lda_42
"Riding comfort and riding feel are good, but poor mileage, exterior, and the interior are very good, road presence is very good, service cost is expensive, bad experience in bad roads, interior plastic quality is not good.",Cost,24,0.70251,Cost,11,wAd_lda_42
Good road presence and amazing built quality.,Road Presence,24,0.860541,Cost,11,wAd_lda_42
"Riding comfort and riding feel are good, but poor mileage, exterior, and the interior are very good, road presence is very good, service cost is expensive, bad experience in bad roads, interior plastic quality is not good.",Comfort,24,0.702618,Cost,11,wAd_lda_42
It has excellent road presence the vehicle sits beautifully at top speeds.,Road Presence,24,0.8779652,Cost,11,wAd_lda_42
The infotainment system is great as it supports most regional language,Infotainment System,24,0.45382863,Cost,11,wAd_lda_42
Ride amazingly with comfort and with high speed.,Comfort,24,0.8047465,Cost,11,wAd_lda_42
"Posh looks and superb performance, the complete family car.",Family Car,24,0.34804273,Cost,11,wAd_lda_42
Good looking and excellent build quality and road presence.,Road Presence,24,0.5030848,Cost,11,wAd_lda_42
The road presence is simply amazing.,Road Presence,24,0.7559451,Cost,11,wAd_lda_42
This is the best luxury car in a good price range.,Cost,24,0.8605387,Cost,11,wAd_lda_42
We've found the ride quality quite comfortable with our l&k with the one MRF.,Comfort,24,0.8605177,Cost,11,wAd_lda_42
Mg hector is the best in the market in its price range,Cost,24,0.86053276,Cost,11,wAd_lda_42
It is the best option in this price range.,Cost,24,0.80474645,Cost,11,wAd_lda_42
"And, I think this is the best car in this price range.",Cost,24,0.8372899,Cost,11,wAd_lda_42
It's not a car but its the best option in this price range.,Cost,24,0.83729,Cost,11,wAd_lda_42
I personally love the ventilated seat dashboard view,Ventilated Seats,24,0.8605281,Cost,11,wAd_lda_42
The car is very durable and has a fantastic music system.,Infotainment System,0,0.6048405,Sunroof,7,wAd_lda_42
"Never expected such a marvel from Mahindra, they have rocked the market, value for money, excellent build quality, features, and remarkable power.",Build Quality,0,0.7336214,Sunroof,7,wAd_lda_42
Pathetic music system,Infotainment System,0,0.40026066,Sunroof,7,wAd_lda_42
I think india production cost also very less than any other developed country but the on-road price is expensive when compared to other countries.,Cost,0,0.6004402,Sunroof,7,wAd_lda_42
"It has got a sunroof, which is awkwardly placed between the front and rear seats inaccessible to either row.",Sunroof,0,0.61876297,Sunroof,7,wAd_lda_42
"Jeep compass build quality, interior design, and quality are top-notch.",Build Quality,0,0.8915227,Sunroof,7,wAd_lda_42
But this variant misses out on major safety features.,Safety Features,0,0.8372968,Sunroof,7,wAd_lda_42
It looks very cool in red,Looks,0,0.39846703,Sunroof,7,wAd_lda_42
New create sunroof car is super SUV.,Sunroof,0,0.8605361,Sunroof,7,wAd_lda_42
"Also, conventional headlamps are provided with this variant and there's no sunroof on offer.",Sunroof,0,0.86053526,Sunroof,7,wAd_lda_42
"The car is very spacious and luxurious, it is well designed and gives you a very high performance,",Performance,0,0.87796897,Sunroof,7,wAd_lda_42
Looks like the trailhawk is missing the front parking sensors and the beats audio available on their international trims.,Safety Features,0,0.69471526,Sunroof,7,wAd_lda_42
"If you want to go for the compass limited plus model which has a panoramic sunroof, expect it to be much hotter as the entire roof is of glass with a cloth-like thin screen underneath.",Sunroof,0,0.8258805,Sunroof,7,wAd_lda_42
The car has a sunroof that is so cool.,Sunroof,0,0.75594026,Sunroof,7,wAd_lda_42
The car mood lighting is linked to music,Mood Lights,0,0.35813704,Sunroof,7,wAd_lda_42
It has a good music system with a wireless connection(Bluetooth).,Infotainment System,0,0.83729315,Sunroof,7,wAd_lda_42
It is because of its mediocre music system.,Infotainment System,0,0.6745956,Sunroof,7,wAd_lda_42
The blind spot cameras are awesome and can definitely give german luxury cars a run for their money.,Safety Features,0,0.91124606,Sunroof,7,wAd_lda_42
It gets panoramic sunroof in top of the variant.,Sunroof,0,0.37350202,Sunroof,7,wAd_lda_42
The music system is excellent.,Infotainment System,0,0.7559458,Sunroof,7,wAd_lda_42
"Its performance is phenomenal, outstanding and off-roading capabilities are awesome.",Performance,0,0.8605336,Sunroof,7,wAd_lda_42
It is fully comfortable and luxurious car.,Comfort,0,0.60478294,Sunroof,7,wAd_lda_42
The sunroof is tiny and has a manual blind.,Sunroof,0,0.50611645,Sunroof,7,wAd_lda_42
Cool SUV with luxury car @ low cost by tata.,Cost,0,0.8915237,Sunroof,7,wAd_lda_42
"Also, it has outstanding performance when it comes to off-roading",Performance,0,0.5735674,Sunroof,7,wAd_lda_42
"the real deal breakers are the sunroof, powered seats, the 360 deg camera and the ventilated seats.",Ventilated Seats,23,0.911247,Ventilated Seats,2,wAd_lda_42
Low maintenance cost than other SUVs.,Cost,23,0.8047542,Ventilated Seats,2,wAd_lda_42
The worlds first air purifier along with the head-up display and ventilated seats are a big talking point of the seltos which can make anyone say wow.,Ventilated Seats,23,0.92489874,Ventilated Seats,2,wAd_lda_42
no written documentation found regarding Creta's boot space though.,Boot Space,23,0.6943198,Ventilated Seats,2,wAd_lda_42
"More space, excellent ride, and build quality, and",Build Quality,23,0.4272221,Ventilated Seats,2,wAd_lda_42
"My family is not much keen on seltos due to the its size, internal space and road presence.",Road Presence,23,0.60031784,Ventilated Seats,2,wAd_lda_42
It's a complete family car.,Family Car,33,0.7559466,Performance,5,wAd_lda_42
"In the interior, it has got many features like the 8-inch touch screen infotainment system with reverse parking sensors with a camera.",Infotainment System,33,0.5492533,Performance,5,wAd_lda_42
The built quality of the car is solid with a good pick up power.,Build Quality,33,0.5534123,Performance,5,wAd_lda_42
"Superbly packaged, classy and extremely comfortable - including such bits as the ventilated seats (front only) & high quality of finish.",Ventilated Seats,33,0.5244921,Performance,5,wAd_lda_42
Looks are so lame...,Looks,33,0.6745867,Performance,5,wAd_lda_42
The road presence of the car is fabulous...,Road Presence,33,0.46595722,Performance,5,wAd_lda_42
"Mg hector is a very high technology car, and I love it and this car price is also less as compared to its feature and this car is having nice ground clearance and this car is fabulous.",Ground Clearance,33,0.7586366,Performance,5,wAd_lda_42
"Very good design, a long drive is very good in this family car like Audi q7",Family Car,33,0.6413216,Performance,5,wAd_lda_42
Solid car & solid performance.,Performance,33,0.56002444,Performance,5,wAd_lda_42
The looks of the car are amazing with good ground clearance and great mileage.,Ground Clearance,33,0.8915303,Performance,5,wAd_lda_42
No one is gonna put 30 lakhs for some lame looking car...,Looks,33,0.83729553,Performance,5,wAd_lda_42
i found the sunroof to have the maximum appeal as well as the most vulnerable as far as part failure is concerned.,Sunroof,33,0.7520525,Performance,5,wAd_lda_42
It is perfect family car.,Family Car,33,0.46540704,Performance,5,wAd_lda_42
"The car performance is superb, good pick up and attractive look.",Performance,33,0.3166309,Performance,5,wAd_lda_42
"Complete family car, safety-wise good.",Family Car,33,0.8605383,Performance,5,wAd_lda_42
The road presence is amazing and dominates every other car in this segment.,Road Presence,33,0.86053723,Performance,5,wAd_lda_42
"It is the best suv car, performance-wise",Performance,33,0.3731642,Performance,5,wAd_lda_42
performance makes it a super king of roads,Performance,33,0.63073665,Performance,5,wAd_lda_42
Amazing car.,Cost,33,0.6745977,Performance,5,wAd_lda_42
Look wise so good and performance also better than other car.,Performance,33,0.645062,Performance,5,wAd_lda_42
Look wise car is awesome.,Looks,33,0.51573753,Performance,5,wAd_lda_42
"They have put in true luxury features for a change, the mood lighting, the bose speakers, rear door curtains and 2 stage rear seat recline.",Mood Lights,17,0.7715592,Cost,8,wAd_lda_42
Premium look and highly fuel-efficient compared to other SUVs which fall under this price range.,Looks,17,0.35655785,Cost,8,wAd_lda_42
There is one price range where the consumers have very few options.,Cost,17,0.50599563,Cost,8,wAd_lda_42
"It comes with very good legroom but its quite less comfort, the led screen is a little small and the overall interior is disappointed by many, but it's good enough.",Comfort,17,0.65730727,Cost,8,wAd_lda_42
It has the best ground clearance in the segment and its cabin is more spacious than other and it is value for money product,Ground Clearance,17,0.64446163,Cost,8,wAd_lda_42
Its service cost also is not that high compared to other SUVs.,Cost,17,0.83729285,Cost,8,wAd_lda_42
"The main reasons are 
 - pathetic build quality
 - below average service experience
 - poor brand image
 - long term reliability",Build Quality,17,0.7616,Cost,8,wAd_lda_42
It does look hideous and unappealing in the images.,Looks,17,0.67452765,Cost,8,wAd_lda_42
"I have changed all five doors due to rust, replaced sunroof motor.",Sunroof,17,0.6044761,Cost,8,wAd_lda_42
"But the cost is the main factor, overall great.",Cost,17,0.51693636,Cost,8,wAd_lda_42
This is one of the best SUV segment cars available at an affordable price range as it provides a touchscreen infotainment system with jbl speakers.,Infotainment System,17,0.61223274,Cost,8,wAd_lda_42
"If the height of the Alturas isn't enough to comfortably accommodate me, something is wrong.",Comfort,17,0.8372904,Cost,8,wAd_lda_42
"The performance of this car is very punchy, one gets to rev up this diesel 2-liter engine past 5000 rpm and it has got 7-speed DSG gearbox which does it’s work phenomenally and is buttery smooth.",Performance,17,0.76080924,Cost,8,wAd_lda_42
"Worth it, full of features, good service cost and all.",Cost,17,0.4854441,Cost,8,wAd_lda_42
The sound- mood lighting is indeed a gimmick,Mood Lights,17,0.29569805,Cost,8,wAd_lda_42
Overall performance is good when compared to other SUVs.,Performance,17,0.46299568,Cost,8,wAd_lda_42
It is a good car in this price range.,Cost,17,0.804755,Cost,8,wAd_lda_42
"Literally, the best in the price range, you can get a jeep company car but any car at this price range can't beat this.",Cost,17,0.9186456,Cost,8,wAd_lda_42
Amazing sporty looks and designs with sunroof make it #badassbydesign and coolest SUV in town.,Sunroof,17,0.6295862,Cost,8,wAd_lda_42
This is the best SUV under this price range.,Cost,17,0.8047412,Cost,8,wAd_lda_42
"Also, front parking sensors and a front-facing camera would have been ideal for off-roading.",Safety Features,17,0.8605303,Cost,8,wAd_lda_42
Best car in the price range.,Cost,17,0.804755,Cost,8,wAd_lda_42
"In safety features, the brand is an average.",Safety Features,17,0.41122276,Cost,8,wAd_lda_42
I am absolutely disappointed with the lack of safety features in the tech line.,Safety Features,2,0.87795866,Looks,7,wAd_lda_42
"New goodies: sunroof, wireless charging etc.",Wireless Charging,2,0.38872775,Looks,7,wAd_lda_42
Nice car.,Looks,2,0.6745798,Looks,7,wAd_lda_42
"But some features are missing just like a sunroof, ventilated seat etc",Ventilated Seats,2,0.8779706,Looks,7,wAd_lda_42
"fascinating features like iconic ""tiger nose"" grills at the front, wireless charging technology etc.",Wireless Charging,2,0.8000235,Looks,7,wAd_lda_42
One missing feature is sunroof.,Sunroof,2,0.75594616,Looks,7,wAd_lda_42
"Legroom is good, boot space is better, infotainments are good, the engine is powerful",Boot Space,2,0.47836202,Looks,7,wAd_lda_42
"The music system is nice, but not as nice as the MGs.",Infotainment System,2,0.40475762,Looks,7,wAd_lda_42
The motion of the sunroof is not smooth visually.,Sunroof,2,0.34127143,Looks,7,wAd_lda_42
It has great big looking stunning design in a compact form and it has a great road presence that feels badass to be owned.,Road Presence,2,0.67959774,Looks,7,wAd_lda_42
It stands apart and my favorite is its electric sunroof which opens with the human voice.,Sunroof,2,0.8915283,Looks,7,wAd_lda_42
"There is a new feature of a panoramic sunroof, looks amazing.",Sunroof,2,0.8605398,Looks,7,wAd_lda_42
That sunroof is sweet!,Sunroof,2,0.5118968,Looks,7,wAd_lda_42
The looks are nice.,Looks,2,0.67459506,Looks,7,wAd_lda_42
Nice car and looks very well ground clearance is very high.,Ground Clearance,2,0.8605385,Looks,7,wAd_lda_42
Stunning look,Looks,2,0.6745632,Looks,7,wAd_lda_42
What an absolutely disgusting looking car.,Looks,2,0.7559361,Looks,7,wAd_lda_42
But the buttons are very nice and tactile.,Looks,2,0.3413075,Looks,7,wAd_lda_42
Very nice looks,Looks,2,0.6745951,Looks,7,wAd_lda_42
Ground clearance is good and solid build quality with nice material and leatherwork in the interior.,Ground Clearance,2,0.55645376,Looks,7,wAd_lda_42
Its style is very nice.,Looks,2,0.34126857,Looks,7,wAd_lda_42
"There were so many facilities like wireless charging, etc.",Wireless Charging,2,0.31250677,Looks,7,wAd_lda_42
"Such a futuristic car mg hector is like you can control your car with just your voice like""mg open the sunroof"" and the sunroof will get opened.",Sunroof,2,0.930265,Looks,7,wAd_lda_42
Hated it to the guts due to the cvt performance.,Performance,22,0.5118947,Performance,12,wAd_lda_42
"Ultimate design, ultimate feature, comfortable seats, and price.",Comfort,22,0.31671762,Performance,12,wAd_lda_42
Mahindra Alturas g4 is a brilliant idea for automatic transmission and a brand new published car and a really brilliant body and even with a 360 rotator camera and with parking sensors and with an amazing 8-inch infotainment system and a broad contour with a three-spoke steering wheel and has an amazing Neapolitan leather.,Infotainment System,22,0.50446,Performance,12,wAd_lda_42
It combines premium build quality with all the latest technologies to offer a premium quality experience.,Build Quality,22,0.5186707,Performance,12,wAd_lda_42
"Fabulous and nice performance, amazing.",Performance,22,0.34251812,Performance,12,wAd_lda_42
Smooth performance with an ultimate mileage will steal your heart away.,Performance,22,0.8779659,Performance,12,wAd_lda_42
And its wireless charging feature is very amazing,Wireless Charging,22,0.46445557,Performance,12,wAd_lda_42
The performance of this car is amazing.,Performance,22,0.75594485,Performance,12,wAd_lda_42
But most of the safety features are missing even in the highest variants of petrol 1.5 ivt.,Safety Features,22,0.570459,Performance,12,wAd_lda_42
"This car has amazing performance, leg space, boot space is amazing.",Boot Space,22,0.37848976,Performance,12,wAd_lda_42
"Awesome design, amazing features and high performance.",Performance,22,0.6166517,Performance,12,wAd_lda_42
The performance is magnificent.,Performance,22,0.5118947,Performance,12,wAd_lda_42
The car is amazing and has a great performance.,Performance,22,0.80475605,Performance,12,wAd_lda_42
sunroof and wireless phone charging is also a unique smart feature,Sunroof,22,0.8779669,Performance,12,wAd_lda_42
"Ventilated seats, especially on the htx+ were a bit too soft for my liking.",Ventilated Seats,22,0.6907458,Performance,12,wAd_lda_42
The safety features are amazing.,Safety Features,22,0.7559457,Performance,12,wAd_lda_42
There is not a single doubt on the performance.,Performance,22,0.51189476,Performance,12,wAd_lda_42
The inbuilt sound system provided by the company has an ideal sound effect and base with voice clarity.,Infotainment System,22,0.72376096,Performance,12,wAd_lda_42
The engine performance is high and it's especially good for ladies and old people.,Performance,22,0.67402846,Performance,12,wAd_lda_42
Today I saw mg hector on road. back looks very ugly,Looks,22,0.52825236,Performance,12,wAd_lda_42
I have been satisfied with its performance.,Performance,22,0.5118946,Performance,12,wAd_lda_42
"It is an amazing car, it is having a sunroof which is a very good feature and a very interesting design.",Sunroof,22,0.6676865,Performance,12,wAd_lda_42
Superior off-road performance makes it all worth it!,Performance,22,0.41158795,Performance,12,wAd_lda_42
Great performance and smooth ride.,Performance,22,0.43173596,Performance,12,wAd_lda_42
Whereas the Indian model's interior looks outright ugly in comparison.,Looks,18,0.75740296,Comfort,17,wAd_lda_42
I'm 5.9 and I feel uncomfortable in the third row due to lack of under-thigh support and leg space.,Comfort,18,0.89151967,Comfort,17,wAd_lda_42
I can feel how uncomfortable this is for passengers as well as drivers,Comfort,18,0.50130206,Comfort,17,wAd_lda_42
The interior of the car is eye-catching and feels roomy due to the large sunroof.,Sunroof,18,0.89152956,Comfort,17,wAd_lda_42
"Toyota car build-up quality is also good, very fun to drive, as u know in Toyota cars there is very low servicing & maintenance cost",Build Quality,18,0.695209,Comfort,17,wAd_lda_42
The last row is not much comfortable.,Comfort,18,0.6745854,Comfort,17,wAd_lda_42
And best features like sunroof ventilated seats wireless charging side camera led tail lamp led fog lamp and i specially like air purifiers best car.,Wireless Charging,18,0.5565612,Comfort,17,wAd_lda_42
The seats are pretty comfortable.,Comfort,18,0.50533766,Comfort,17,wAd_lda_42
The car is very spacious and very comfortable in terms of driving and seating on a rear seat.,Comfort,18,0.89152914,Comfort,17,wAd_lda_42
a ventillated seat is a must have..,Ventilated Seats,18,0.5118861,Comfort,17,wAd_lda_42
The superb full future sunroof is very good big audio system big touch screen,Sunroof,18,0.7398903,Comfort,17,wAd_lda_42
Everything is up to the mark but feeling sad when I see that there is no sunroof.,Sunroof,18,0.48573905,Comfort,17,wAd_lda_42
The normal drive mode felt comfortable.,Comfort,18,0.58463037,Comfort,17,wAd_lda_42
Comfortable interior with a sunroof.,Sunroof,18,0.7559476,Comfort,17,wAd_lda_42
General servicing costs have increased too.,Cost,18,0.49654865,Comfort,17,wAd_lda_42
It is a very good car Toyota Fortuner and Toyota cars are premium quality cars.,Build Quality,18,0.5015253,Comfort,17,wAd_lda_42
"Overall a good vehicle in terms of performance, style, comfort, fuel economy and statu",Performance,18,0.7561808,Comfort,17,wAd_lda_42
Its seats are very comfortable and back seats are more comfortable.,Comfort,18,0.80475706,Comfort,17,wAd_lda_42
"The interior is very comfortable.
 during the riding, you feel very comfortable in your driving seat.",Comfort,18,0.87797356,Comfort,17,wAd_lda_42
Poor seat thigh support,Comfort,18,0.62836045,Comfort,17,wAd_lda_42
The driving is comfortable.,Comfort,18,0.6745869,Comfort,17,wAd_lda_42
The seats are really comfortable.,Comfort,18,0.6745946,Comfort,17,wAd_lda_42
Looks mind-blowingly good!,Looks,18,0.4993835,Comfort,17,wAd_lda_42
It gives smooth and comfortable driving.,Comfort,18,0.38740376,Comfort,17,wAd_lda_42
Fabulous design with a comfortable interior.,Comfort,18,0.32072622,Comfort,17,wAd_lda_42
Seats are comfortable.,Comfort,18,0.6745945,Comfort,17,wAd_lda_42
It gives a comfortable driving experience.,Comfort,18,0.4146105,Comfort,17,wAd_lda_42
i like in this car is its sunroof which is mind-blowing.,Sunroof,18,0.83729583,Comfort,17,wAd_lda_42
"The hud, the sunroof was more of feel-good factors.",Sunroof,18,0.52832514,Comfort,17,wAd_lda_42
The driving is comfortable and safe.,Comfort,18,0.40883157,Comfort,17,wAd_lda_42
The driving is very smooth and comfortable.,Comfort,18,0.48425397,Comfort,17,wAd_lda_42
"And by heaven, the price tags of cars these days are verging on the ridiculously Stratospheric.",Cost,1,0.89152557,Safety Features,13,wAd_lda_42
Ventilated seat is a very good feature to be there as many cars at this price does not provide this.,Ventilated Seats,1,0.8779682,Safety Features,13,wAd_lda_42
All safety features are available in gl itself.,Safety Features,1,0.80475664,Safety Features,13,wAd_lda_42
"the car has soo many safety features, that is awesome",Safety Features,1,0.46348107,Safety Features,13,wAd_lda_42
Better performance than any other car.,Performance,1,0.7559444,Safety Features,13,wAd_lda_42
"The Skoda kodiaq scout possesses some serious off-road capabilities, thanks to its better approach and departure angles and slightly higher ground clearance (194mm).",Ground Clearance,1,0.7579566,Safety Features,13,wAd_lda_42
